,Number,Latitude,Longitude,Address
0,1,51.710725,8.74646,"ARAL Station
DKV-Nr: 0071439
Borchener Str. 42
DE-33098 Paderborn
Tel.: 05251 72335"
1,2,51.732231,8.764933,"ARAL Station
DKV-Nr: 0070410
Detmolder Str. 75
DE-33100 Paderborn
Tel.: 05251 527584"
2,3,51.712618,8.736459,"ARAL Station
DKV-Nr: 0010108
Bahnhofstr. 58
DE-33102 Paderborn
Tel.: 05251 37111"
3,4,51.726194,8.735155,"Q1 Station
DKV-Nr: 0049148
Neuhäuser Str. 102
DE-33102 Paderborn
Tel.: 05251 870944"
4,5,51.712153,8.733916,"MARKANT Station
DKV-Nr: 0096074
Bahnhofstr. 76
DE-33102 Paderborn
Tel.: 05251 34367"
5,6,51.703468,8.76657,"REAL Station
DKV-Nr: 0018261
Husener Str. 121
DE-33100 Paderborn
Tel.: 05251 61601"
6,7,51.734733,8.767004,"WESTFALEN Station
DKV-Nr: 0096007
Detmolder Str. 112
DE-33100 Paderborn
Tel.: 05251 56824"
7,8,51.706226,8.777159,"ARAL Station
DKV-Nr: 3470025
Warburger Str. 128
DE-33100 Paderborn
Tel.: 05251 62703"
8,9,51.706638,8.72941,"SHELL Station
DKV-Nr: 0050087
Grüner Weg 24
DE-33098 Paderborn
Tel.: 05251 750079"
9,10,51.72484,8.79496,"RAIFFEISEN Station
DKV-Nr: 3499173
Randebrockstr. 1
DE-33100 Paderborn
Tel.: 02921 39971"
10,11,51.6981,8.73232,"AVIA Station
DKV-Nr: 0005012
Frankfurter Weg 29
DE-33106 Paderborn
Tel.: 05251 760268"
11,12,51.70917,8.71458,"TP24Automat
DKV-Nr: 0081302
Balhorner Feld 4
DE-33106 Paderborn"
12,13,51.7455849,8.7415599,"ARAL Station
DKV-Nr: 0010090
Marienloher Str. 87
DE-33104 Paderborn
Tel.: 05254 2430"
13,14,51.693356,8.736733,"RAIFFEISEN Station
DKV-Nr: 3499175
Haller Str. 4
DE-33106 Paderborn
Tel.: 02921 39971"
14,15,51.7453775,8.731506,"ARAL Station
DKV-Nr: 0010583
Dubelohstr. 143
DE-33104 Paderborn
Tel.: 05254 939178"
15,16,51.702381,8.714696,"HOYER Station
DKV-Nr: 0099257
Oberes Feld 13
DE-33106 Paderborn"
16,17,51.742802,8.7077,"SHELL Station
DKV-Nr: 0004682
Münsterstr. 7
DE-33104 Paderborn
Tel.: 05254 977580"
17,18,51.743227,8.706585,"JET Station
DKV-Nr: 0018777
Münsterstr. 13 - 15
DE-33104 Paderborn
Tel.: 05254 6638134"
18,19,51.683249,8.721085,"ARAL Station
DKV-Nr: 0070764
Borchener Str. 336
DE-33106 Paderborn
Tel.: 05251 892905"
19,20,51.733788,8.6892775,"TotalEnergies Station
DKV-Nr: 0045430
Von-Ketteler-Str. 13
DE-33106 Paderborn
Tel.: 05254 5150"
