,Number,Latitude,Longitude,Address
0,1,50.738295,7.101143,"BFT Station
DKV-Nr: 0092062
Kölnstr. 10 - 16
DE-53111 Bonn
Tel.: 0228 94498970"
1,2,50.7463504,7.0995962,"ARAL Station
DKV-Nr: 0070956
Römerstr. 102 - 110
DE-53111 Bonn
Tel.: 0228 636321"
2,3,50.7324683,7.0822964,"SHELL Station
DKV-Nr: 0050117
Endenicher Str. 92
DE-53115 Bonn
Tel.: 0228 696110"
3,4,50.744928,7.083859,"ED Station
DKV-Nr: 0068029
Lievelingsweg 10
DE-53119 Bonn
Tel.: 0228 676991"
4,5,50.730591,7.080039,"BFT Station
DKV-Nr: 0092022
Endenicher Str. 157
DE-53115 Bonn
Tel.: 0228 7668982"
5,6,50.743203,7.078949,"ARAL Station
DKV-Nr: 0070955
Potsdamer Platz 2
DE-53119 Bonn
Tel.: 0228 7668731"
6,7,50.742186,7.07755,"SVG Station
DKV-Nr: 0105090
Potsdamer Platz 7
DE-53119 Bonn
Tel.: 0228 654851"
7,8,50.739979,7.075983,"JET Station
DKV-Nr: 3418324
Bornheimer Str. 145
DE-53119 Bonn
Tel.: 0228 655558"
8,9,50.741082,7.074616,"Mr. Wash Waschstation
DKV-Nr: 9984031
Bornheimer Str. 153
DE-53119 Bonn
Tel.: 0228 18999110"
9,10,50.720567,7.107591,"ESSO Station
DKV-Nr: 0003112
Reuterstr. 108
DE-53129 Bonn
Tel.: 0228 216797"
10,11,50.745814,7.124293,"SHELL Station
DKV-Nr: 0050543
Sankt Augustiner Str. 118
DE-53225 Bonn
Tel.: 0228 460786"
11,12,50.746626,7.124172,"ESSO Station
DKV-Nr: 0003808
Sankt Augustiner Str. 145
DE-53225 Bonn
Tel.: 0228 476790"
12,13,50.7181406,7.091131,"ARAL Station
DKV-Nr: 0010738
Im Wingert 20
DE-53115 Bonn
Tel.: 0228 2123 48"
13,14,50.734826,7.13144,"SHELL Station
DKV-Nr: 0050542
Königswinterer Str. 90
DE-53227 Bonn
Tel.: 0228 946540"
14,15,50.75213,7.073853,"ESSO Station
DKV-Nr: 0003674
Kölnstr. 455
DE-53117 Bonn
Tel.: 0228 670463"
15,16,50.7474127,7.0670927,"ARAL Station
DKV-Nr: 0010356
Landsberger Str. 2
DE-53119 Bonn
Tel.: 0228 661806"
16,17,50.72638,7.06774,"H2 MOBILITY Wasserstoff Station
DKV-Nr: 3493010
Erich-Hoffmann-Straße 9
DE-53121 Bonn"
17,18,50.7261456,7.0674878,"SHELL Station
DKV-Nr: 3404528
Erich-Hoffmann-Str. 9
DE-53121 Bonn
Tel.: 0228 616660"
18,19,50.709144,7.109769,"HEM Station
DKV-Nr: 0058034
Hausdorffstr. 223
DE-53129 Bonn
Tel.: 0228 235520"
19,20,50.7192917,7.0567587,"ARAL Station
DKV-Nr: 0010572
Rochusstr. 46
DE-53123 Bonn
Tel.: 0228 624902"
20,21,50.71184,7.06713,"AGIP Station
DKV-Nr: 3406394
Provinzialstr. 55
DE-53127 Bonn
Tel.: 0228254392"
21,22,50.711814,7.067181,"TotalEnergies Station
DKV-Nr: 3498120
Provinzialstr. 55
DE-53127 Bonn
Tel.: 0228 254392"
22,23,50.741833,7.149664,"CLASSIC Station
DKV-Nr: 0082166
Holtorfer Str. 11
DE-53229 Bonn
Tel.: 04251 812207"
23,24,50.762407,7.056833,"SHELL Station
DKV-Nr: 3404619
Kölnstr. 653
DE-53117 Bonn
Tel.: 0228 673966"
24,25,50.702757,7.116083,"TotalEnergies Station
DKV-Nr: 0051105
Kessenicher Str. 212
DE-53129 Bonn
Tel.: 0228 231116"
25,26,50.7244001,7.1526895,"ARAL Station
DKV-Nr: 0070930
Königswinterer Str. 409
DE-53227 Bonn
Tel.: 0228 442219"
26,27,50.751893,7.155592,"Q1 Station
DKV-Nr: 0049199
Fränkische Str. 15
DE-53229 Bonn
Tel.: 0228 43378870"
27,28,50.709432,7.054801,"TotalEnergies Station
DKV-Nr: 3445090
Julius-Leber-Str. 2 c
DE-53123 Bonn
Tel.: 0228 96285704"
28,29,50.701211,7.136537,"ARAL Station
DKV-Nr: 0010208
Godesberger Allee 131
DE-53175 Bonn
Tel.: 0228 376016"
29,30,50.780204,7.083199,"MUNDORF Station
DKV-Nr: 0073016
Hertzstr. 4
DE-53844 Troisdorf
Tel.: 0228 9455360"
30,31,50.714305,7.039477,"JET Station
DKV-Nr: 3418329
Rochusstr. 337
DE-53123 Bonn
Tel.: 0228 9862052"
31,32,50.712218,7.040691,"TotalEnergies Station
DKV-Nr: 0051381
Konrad-Adenauer-Damm 200
DE-53123 Bonn
Tel.: 0228 644806"
32,33,50.696162,7.141446,"AGIP Station
DKV-Nr: 0006107
Godesberger Allee 63
DE-53175 Bonn
Tel.: 0228 374035"
33,34,50.756685,7.02497,"TP24Automat
DKV-Nr: 0081469
Johann-Philipp-Reis-Str. 22
DE-53332 Bornheim"
34,35,50.695071,7.14261,"BFT Station
DKV-Nr: 0092027
Godesberger Allee 55
DE-53175 Bonn
Tel.: 0228 3727123"
35,36,50.761273,7.027342,"WESTFALEN Station
DKV-Nr: 0096335
Alexander-Bell-Str. 1
DE-53332 Bornheim
Tel.: 02222 6480965"
36,37,50.691907,7.137097,"ARAL Station
DKV-Nr: 3475595
Friesdorfer Str. 195
DE-53175 Bonn
Tel.: 0228 310151"
